Unique_Investment_Identifier,Business_Case_ID,Agency_Code,Agency_Name,Investment_Title,Unique_Project_ID,Project_ID,Project_Name,Start_Date,Completion_Date,Project_LifeCycle_Cost,Schedule_Variance_days,Schedule_Variancne_perc,Schedule_Color,Cost_Variance_mil,Cost_Variance,Cost_Color
005-000001723,212,5,Department of Agriculture,AMS Infrastructure WAN and DMZ (AMSWAN),1,656,Operations,01/10/2011,30/09/2012,15.297,-334,-91.51,Red,0,0,Green
005-000001723,212,5,Department of Agriculture,AMS Infrastructure WAN and DMZ (AMSWAN),2,657,Virtualization,01/10/2011,31/03/2012,0.179,-517,-284.07,Red,0,0,Green
005-000001723,212,5,Department of Agriculture,AMS Infrastructure WAN and DMZ (AMSWAN),3,658,Refresh,01/04/2012,30/09/2012,1.46,0,0,Green,-0.000124,-0.01,Green
005-000001723,212,5,Department of Agriculture,AMS Infrastructure WAN and DMZ (AMSWAN),4,5939,Refresh-13,01/10/2012,30/09/2013,1.46,0,0,Green,1.442821,98.82,Red
005-000001723,212,5,Department of Agriculture,AMS Infrastructure WAN and DMZ (AMSWAN),5,5941,Refresh-14,01/10/2013,30/09/2014,1.46,0,0,Green,0,0,Green
005-000001822,213,5,Department of Agriculture,APHIS Electronic Permits System (ePermits),PER1822001,661,ePermits O&amp;M FY11 Part 1.,01/04/2011,30/09/2011,1.8205,0,0,Green,0.3641,20,Yellow
005-000001822,213,5,Department of Agriculture,APHIS Electronic Permits System (ePermits),PER1822002,662,ePermits O&amp;M FY12 Part 1,01/04/2012,30/09/2012,1.713,-334,-183.52,Red,0,0,Green
005-000001822,213,5,Department of Agriculture,APHIS Electronic Permits System (ePermits),PER1822003,663,ePermits O&amp;M FY12 Part 2,01/10/2012,31/03/2013,1.45,-152,-83.98,Red,0,0,Green
005-000001822,213,5,Department of Agriculture,APHIS Electronic Permits System (ePermits),PERD182202,664,BRS Field Reports Phase 2,31/12/2010,31/03/2011,0.01,0,0,Green,0,0,Green
005-000001822,213,5,Department of Agriculture,APHIS Electronic Permits System (ePermits),PER182205,5741,ePermits O&amp;M FY13 Part 2,01/10/2013,01/04/2014,3.5,0,0, ,0,0,Green
005-000000038,214,5,Department of Agriculture,APHIS Enterprise Infrastructure (AEI),AEI0038000,665,Enterprise Management,01/10/2010,30/09/2011,46.96,10,2.75,Green,0,0,Green
